CODIGO_DA_IES,NOME_DA_IES,SIGLA,ORGANIZACAO_ACADEMICA,MUNICIPIO,UF,SITUACAO_IES
24700,Faculdade Instituto Rio de Janeiro,FIURJ,Faculdade,Rio de Janeiro,RJ,Ativa
21878,Faculdade Metropolitana de Florianópolis,FAMEFLORIPA,Faculdade,Florianópolis,SC,Ativa
1700,FACULDADE PROMOVE DE SETE LAGOAS,FSLMG,Faculdade,Sete Lagoas,MG,Ativa
20438,FACULDADE INTERCULTURAL DA AMAZONIA,FIAMA,Faculdade,Belém,PA,Ativa
1641,CENTRO UNIVERSITÁRIO SOCIAL DA BAHIA,UNISBA,Centro Universitário,Salvador,BA,Ativa
23194,Faculdade PSICOLOG,FAPSI,Faculdade,Ribeirão Preto,SP,Ativa
568,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,Universidade,São Luís,MA,Ativa
3966,CENTRO UNIVERSITÁRIO DE CARATINGA,UNEC,Centro Universitário,Caratinga,MG,Ativa
778,FACULDADE IBRA DOS VALES,FACULDADE FADIVALES,Faculdade,Jacareí,SP,Ativa
3312,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE RIO VERDE,CEFET-RIO VERDE,Centro Federal de Educação Tecnológica,Rio Verde,GO,Extinta
18627,Faculdade Pitágoras de João Pessoa,,Faculdade,João Pessoa,PB,Extinta
12601,FACULDADE BRASILEIRA DE ESTUDOS AVANÇADOS,FABEA,Faculdade,São Luís,MA,Ativa
3786,FACULDADE DE ENSINO DE MINAS GERAIS,FACEMG,Faculdade,Belo Horizonte,MG,Ativa
21201,FTRB - Faculdade Teológica Reformada de Brasília,null,Faculdade,Brasília,DF,Ativa
1900,"Centro Universitário de Ensino, Ciência e Tecnologia do Paraná",UniEnsino,Centro Universitário,Curitiba,PR,Ativa
20615,Faculdade do Sertão Central,FASEC,Faculdade,Milhã,CE,Ativa
3165,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO TRIÂNGULO MINEIRO",IFTM,"Instituto Federal de Educação, Ciência e Tecnologia",Uberaba,MG,Ativa
21370,FACULDADE MAURÍCIO DE NASSAU DE DUQUE DE CAXIAS,FMN CAXIAS,Faculdade,Duque de Caxias,RJ,Extinta
5664,FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS DE ARARIPINA - FACISA,FACISA,Faculdade,Araripina,PE,Ativa
1435,FACULDADE DE VILA VELHA,null,Faculdade,Vila Velha,ES,Extinta
3319,Instituto Universitário Una de Catalão,Catalana,Faculdade,Catalão,GO,Ativa
2242,FACULDADE DO RECIFE,FAREC,Faculdade,Recife,PE,Ativa
1532,FACULDADE DE SERTÃOZINHO,null,Faculdade,Sertãozinho,SP,Ativa
1526,Faculdade SENAI São Paulo,SENAI SP,Faculdade,São Paulo,SP,Ativa
19823,Faculdade Porto União,FPU,Faculdade,São Paulo,SP,Ativa
2282,FACULDADE DE CAFELÂNDIA,FAC,Faculdade,Cafelândia,PR,Ativa
2289,FACULDADE UNIÃO CULTURAL DO ESTADO DE SÃO PAULO,UCESP,Faculdade,Araçatuba,SP,Ativa
2143,INSTITUTO SUPERIOR DE EDUCAÇÃO DE DUQUE DE CAXIAS,ISEDUC,Faculdade,Duque de Caxias,RJ,Extinta
